Name,Season,DrivingDist,DrivingAcc,GIR,SandSaves,Putts,Events
Justin Rose,2019,308.00,61.61,65.97,63.33,28.50,4.00
Justin Rose,2018,303.50,66.02,69.95,61.16,28.67,4.00
Justin Rose,2017,300.40,58.48,68.19,56.52,29.15,4.00
Justin Rose,2016,303.90,57.90,67.92,55.46,29.58,4.00
Justin Rose,2015,303.50,63.87,70.54,60.75,29.17,4.00
Brooks Koepka,2019,310.20,60.90,71.21,53.13,29.59,6.00
Brooks Koepka,2018,313.40,56.85,68.28,53.76,28.76,6.00
Brooks Koepka,2017,310.50,54.14,62.28,45.15,28.32,6.00
Brooks Koepka,2016,302.60,58.60,66.98,51.75,28.81,6.00
Brooks Koepka,2015,308.20,57.33,69.48,53.68,29.10,6.00
Dustin Johnson,2019,304.60,54.06,71.67,65.50,28.85,5.00
Dustin Johnson,2018,314.00,59.46,70.57,52.17,28.47,5.00
Dustin Johnson,2017,314.40,56.44,69.61,44.71,29.00,5.00
Dustin Johnson,2016,313.60,57.17,67.82,45.24,28.49,5.00
Dustin Johnson,2015,317.70,55.53,67.05,38.60,28.47,5.00
Justin Thomas,2019,301.80,59.73,73.96,59.57,28.78,8.00
Justin Thomas,2018,311.80,58.41,68.77,54.29,28.33,23.00
Justin Thomas,2017,309.30,54.09,67.33,49.53,28.29,23.00
Justin Thomas,2016,301.30,53.94,65.63,52.23,29.28,23.00
Justin Thomas,2015,303.20,88.21,68.92,46.64,28.64,23.00
Bryson DeChambeau,2019,302.80,66.47,67.36,47.37,28.54,6.00
Bryson DeChambeau,2018,305.70,62.23,69.65,48.67,29.18,6.00
Bryson DeChambeau,2017,299.10,58.04,65.77,47.59,29.15,6.00
Bryson DeChambeau,2016,294.60,55.83,59.50,59.52,29.50,6.00
Bryson DeChambeau,2015,306.00,65.18,56.25,43.75,28.38,6.00
Jon Rahm,2019,305.00,65.15,70.63,50.00,28.82,7.00
Jon Rahm,2018,308.90,59.20,70.12,48.54,29.14,7.00
Jon Rahm,2017,305.80,58.61,68.79,60.00,28.81,7.00
Jon Rahm,2016,306.90,61.19,68.15,66.67,28.43,7.00
Jon Rahm,2015,295.80,62.86,67.22,50.00,28.90,7.00
Xander Shauffele,2019,302.60,60.84,71.01,58.93,28.50,8.00
Xander Shauffele,2018,304.19,59.77,65.59,48.40,29.18,8.00
Xander Shauffele,2017,306.30,57.68,67.74,52.85,29.10,8.00
Xander Shauffele,2016,297.70,57.14,71.11,14.29,30.00,8.00
Rickie Fowler,2019,303.80,64.48,59.84,54.17,28.64,7.00
Rickie Fowler,2018,299.80,65.33,59.52,60.50,28.99,7.00
Rickie Fowler,2017,300.50,63.29,66.98,67.69,28.32,7.00
Rickie Fowler,2016,301.60,58.69,69.26,52.03,29.16,7.00
Rickie Fowler,2015,296.80,62.08,65.81,55.83,28.44,7.00
Rory McIlroy,2019,313.80,59.71,70.83,54.29,28.92,6.00
Rory McIlroy,2018,319.70,55.79,66.30,52.43,28.46,6.00
Rory McIlroy,2017,316.70,54.97,65.94,64.06,28.65,6.00
Rory McIlroy,2016,306.80,61.06,69.62,47.52,29.18,6.00
Rory McIlroy,2015,304.00,67.69,71.03,56.34,29.21,6.00
Francesco Molinari,2019,291.30,66.67,61.81,75.00,28.31,4.00
Francesco Molinari,2018,301.00,65.04,70.24,47.90,29.63,4.00
Francesco Molinari,2017,291.90,69.80,67.22,54.44,28.91,4.00
Francesco Molinari,2016,286.70,63.76,64.93,44.68,29.71,4.00
Francesco Molinari,2015,281.60,76.88,71.07,48.61,29.94,4.00
Keith Mitchell,2019,297.60,58.22,71.02,52.11,29.59,11.00
Keith Mitchell,2018,312.60,58.59,69.42,48.61,29.65,11.00
Keith Mitchell,2017,309.90,46.15,56.94,66.67,26.25,1.00
Nick Watney,2019,297.10,61.51,71.02,46.97,29.41,10.00
Nick Watney,2018,307.50,56.33,67.96,43.79,29.26,10.00
Nick Watney,2017,300.90,55.67,66.43,56.10,29.45,10.00
Nick Watney,2016,302.60,44.96,71.90,43.33,29.41,10.00
Nick Watney,2015,294.00,61.08,67.34,50.42,29.32,10.00
Peter Malnati,2019,288.10,54.50,64.16,54.90,28.06,10.00
Peter Malnati,2018,290.90,56.85,62.99,56.69,28.07,10.00
Peter Malnati,2017,282.30,63.10,62.48,53.06,28.40,10.00
Peter Malnati,2016,279.70,60.54,62.09,51.39,28.34,10.00
Peter Malnati,2015,283.30,67.86,61.11,100.00,30.00,10.00
Richie Ramsay,2018,293.30,63.10,66.67,30.00,32.17,2.00
Richie Ramsay,2017,297.80,60.71,59.26,50.00,28.33,2.00
Richie Ramsay,2016,276.50,64.29,55.56,33.30,30.00,2.00
Richie Ramsay,2015,284.20,72.83,70.37,20.00,31.00,2.00
Richie Ramsay,2013,278.70,60.00,58.33,50.00,30.60,2.00
William McGirt,2018,289.30,59.89,67.59,53.28,29.28,26.00
William McGirt,2017,284.80,70.06,67.23,46.67,29.61,26.00
William McGirt,2016,287.60,65.28,67.35,47.85,29.08,26.00
William McGirt,2015,280.40,67.87,67.85,53.42,28.96,26.00
William McGirt,2014,278.50,65.94,64.41,46.02,28.71,26.00
Jason Day,2019,298.80,64.31,71.94,51.85,28.40,6.00
Jason Day,2018,310.00,58.32,65.28,62.50,28.24,6.00
Jason Day,2017,306.60,53.73,63.98,54.55,28.22,6.00
Jason Day,2016,304.20,50.46,67.23,62.26,28.06,6.00
Jason Day,2015,313.70,55.94,70.83,61.11,28.44,6.00
Tony Finau,2019,311.00,58.71,68.33,46.15,28.63,8.00
Tony Finau,2018,315.10,55.09,70.18,44.38,29.03,8.00
Tony Finau,2017,309.20,57.53,68.96,52.00,29.26,8.00
Tony Finau,2016,312.20,52.48,65.09,46.43,29.20,8.00
Tony Finau,2015,309.00,54.30,67.61,45.10,29.11,8.00
Paul Casey,2019,293.00,70.69,72.96,46.94,29.33,8.00
Paul Casey,2018,304.30,63.14,67.84,54.46,29.07,8.00
Paul Casey,2017,297.10,63.46,69.96,38.79,29.02,8.00
Paul Casey,2016,295.20,64.67,70.80,50.44,29.69,8.00
Paul Casey,2015,297.80,64.16,72.36,38.46,29.77,8.00
Bubba Watson,2019,316.60,59.62,69.70,52.94,30.14,6.00
Bubba Watson,2018,313.10,58.27,68.21,44.20,29.33,6.00
Bubba Watson,2017,305.60,59.58,63.02,47.31,29.28,6.00
Bubba Watson,2016,310.60,55.11,69.16,47.32,29.78,6.00
Bubba Watson,2015,315.20,56.55,69.32,46.88,28.96,6.00
Gary Woodland,2019,309.50,67.27,75.64,40.35,29.92,10.00
Gary Woodland,2018,313.50,63.69,70.51,41.49,29.93,10.00
Gary Woodland,2017,306.90,58.90,69.35,61.21,29.27,10.00
Gary Woodland,2016,306.10,56.69,68.74,48.85,29.26,10.00
Gary Woodland,2015,305.50,56.21,66.74,43.27,29.53,10.00
Marc Leishman,2019,296.80,60.84,71.35,55.17,29.00,8.00
Marc Leishman,2018,298.50,60.17,66.67,48.81,28.94,8.00
