Golfer,Event,Year,Round,Score,Location,Date
Justin Rose,Open Championship,2018,1,1,"Angus, Scotland",7/19/18
Justin Rose,Open Championship,2018,2,2,"Angus, Scotland",7/20/18
Justin Rose,Open Championship,2018,3,-7,"Angus, Scotland",7/21/18
Justin Rose,Open Championship,2018,4,-2,"Angus, Scotland",7/22/18
Brooks Koepka,Open Championship,2018,1,1,"Angus, Scotland",7/19/18
Brooks Koepka,Open Championship,2018,2,-2,"Angus, Scotland",7/20/18
Brooks Koepka,Open Championship,2018,3,4,"Angus, Scotland",7/21/18
Brooks Koepka,Open Championship,2018,4,-1,"Angus, Scotland",7/22/18
Dustin Johnson,Open Championship,2018,1,5,"Angus, Scotland",7/19/18
Dustin Johnson,Open Championship,2018,2,1,"Angus, Scotland",7/20/18
Justin Thomas,Open Championship,2018,1,-2,"Angus, Scotland",7/19/18
Justin Thomas,Open Championship,2018,2,6,"Angus, Scotland",7/20/18
Bryson DeChambeau,Open Championship,2018,1,4,"Angus, Scotland",7/19/18
Bryson DeChambeau,Open Championship,2018,2,-1,"Angus, Scotland",7/20/18
Bryson DeChambeau,Open Championship,2018,3,2,"Angus, Scotland",7/21/18
Bryson DeChambeau,Open Championship,2018,4,-1,"Angus, Scotland",7/22/18
Jon Rahm,Open Championship,2018,1,-2,"Angus, Scotland",7/19/18
Jon Rahm,Open Championship,2018,2,7,"Angus, Scotland",7/20/18
Rickie Fowler,Open Championship,2018,1,-1,"Angus, Scotland",7/19/18
Rickie Fowler,Open Championship,2018,2,-2,"Angus, Scotland",7/20/18
Rickie Fowler,Open Championship,2018,3,2,"Angus, Scotland",7/21/18
Rickie Fowler,Open Championship,2018,4,1,"Angus, Scotland",7/22/18
Rory McIlroy,Open Championship,2018,1,-2,"Angus, Scotland",7/19/18
Rory McIlroy,Open Championship,2018,2,-2,"Angus, Scotland",7/20/18
Rory McIlroy,Open Championship,2018,3,-1,"Angus, Scotland",7/21/18
Rory McIlroy,Open Championship,2018,4,-1,"Angus, Scotland",7/22/18
Jason Day,Open Championship,2018,1,0,"Angus, Scotland",7/19/18
Jason Day,Open Championship,2018,2,0,"Angus, Scotland",7/20/18
Jason Day,Open Championship,2018,3,1,"Angus, Scotland",7/21/18
Jason Day,Open Championship,2018,4,-3,"Angus, Scotland",7/22/18
Tony Finau,Open Championship,2018,1,-4,"Angus, Scotland",7/19/18
Tony Finau,Open Championship,2018,2,0,"Angus, Scotland",7/20/18
Tony Finau,Open Championship,2018,3,0,"Angus, Scotland",7/21/18
Tony Finau,Open Championship,2018,4,0,"Angus, Scotland",7/22/18
Paul Casey,Open Championship,2018,1,2,"Angus, Scotland",7/19/18
Paul Casey,Open Championship,2018,2,0,"Angus, Scotland",7/20/18
Paul Casey,Open Championship,2018,3,1,"Angus, Scotland",7/21/18
Paul Casey,Open Championship,2018,4,1,"Angus, Scotland",7/22/18
Bubba Watson,Open Championship,2018,1,4,"Angus, Scotland",7/19/18
Bubba Watson,Open Championship,2018,2,2,"Angus, Scotland",7/20/18
Gary Woodland,Open Championship,2018,1,0,"Angus, Scotland",7/19/18
Gary Woodland,Open Championship,2018,2,1,"Angus, Scotland",7/20/18
Gary Woodland,Open Championship,2018,3,1,"Angus, Scotland",7/21/18
Gary Woodland,Open Championship,2018,4,5,"Angus, Scotland",7/22/18
Marc Leishman,Open Championship,2018,1,1,"Angus, Scotland",7/19/18
Marc Leishman,Open Championship,2018,2,1,"Angus, Scotland",7/20/18
Marc Leishman,Open Championship,2018,3,-2,"Angus, Scotland",7/21/18
Marc Leishman,Open Championship,2018,4,5,"Angus, Scotland",7/22/18
Cameron Smith,Open Championship,2018,1,2,"Angus, Scotland",7/19/18
Cameron Smith,Open Championship,2018,2,0,"Angus, Scotland",7/20/18
Cameron Smith,Open Championship,2018,3,2,"Angus, Scotland",7/21/18
Cameron Smith,Open Championship,2018,4,6,"Angus, Scotland",7/22/18
Justin Rose,TOUR Championship,2018,1,-4,Atlanta,9/20/18
Justin Rose,TOUR Championship,2018,2,-3,Atlanta,9/21/18
Justin Rose,TOUR Championship,2018,3,-2,Atlanta,9/22/18
Justin Rose,TOUR Championship,2018,4,3,Atlanta,9/23/18
